Name,Album,Record Label,Label type,Sex,Release date,Album Track Total,Singles,Albums Total,Debut Album Year,Last Album Year,Years Since Last Album,Years Since Debut Album,Album Drop Rate
IDK,Simple.,Clue/Warner Records,1,M,6-May,8,2,9,2014,2021,1,8,1.13
Jack Harlow,Come Home The Kids Miss You,Generation Now/Atlantic,1,M,6-May,15,2,7,2016,2020,2,6,1.17
Post Malone,Twelve Carat Toothache,Mercury Records/Republic Records,1,M,3-Jun,14,3,4,2016,2019,3,6,0.67
Kevin Gates,Khaza,Bread Winner Alumni,0,M,17-Jun,19,4,16,2009,2021,1,13,1.23
Logic,Vinyl Days,Visionary Music Group LLC/ Def Jam PS,0,M,17-Jun,30,7,12,2014,2021,1,8,1.5
Chris Brown,Breezy,Chris Brown Entertainment/RCA Records,1,M,24-Jun,24,3,12,2005,2020,2,17,0.71
Cochise,THE INSPECTION,Columbia,1,M,24-Jun,13,2,2,2021,2021,1,1,2
Brent Faiyaz,WASTELAND,"Lost Kids LLC., Marketed by Venice / Stem",0,M,8-Jul,19,4,3,2017,2020,2,5,0.6
Lizzo,Special,Nice Life/Atlantic,1,F,15-Jul,12,4,4,2014,2019,3,8,0.5
$uicideboy$,"Sing Me a Lullaby, My Sweet Temptation",G59 Records,0,M,29-Jul,13,2,17,2014,2021,1,8,2.13
Young Nudy,EA Monster,PDE Records/Same Plate/RCA Records,1,M,8-Aug,11,1,12,2016,2021,1,6,2
Chris Patrick,X-Files,CXR / Good Partners,0,M,10-Aug,14,3,2,2020,2020,2,2,1
Freddie Dredd,Freddie's Inferno,Doomshop Records/RCA Records,1,M,11-Aug,14,3,6,2017,2020,2,5,1.2
Destroy Lonely,NO STYLIST,Opium,0,M,12-Aug,19,0,4,2018,2020,2,4,1
The Game,DRILLMATIC Heart vs. Mind,"100 Entertainment, Inc.",0,M,12-Aug,30,2,41,2003,2019,3,19,2.16
Megan Thee Stallion,Traumazine,300 Entertainment,1,F,12-Aug,18,5,7,2017,2021,1,5,1.4
Rod Wave,Beautiful Mind,Alamo,1,M,12-Aug,24,4,7,2018,2021,1,4,1.75
EST Gee,I Never Felt Nun,CMG/Warlike/Interscope Records,1,M,16-Sep,21,5,8,2019,2022,0,3,2.67
DaBaby,Baby On Baby 2,South Coast Music Group/Interscope Records,1,M,23-Sep,14,0,10,2016,2022,0,6,1.67
Open Mike Eagle,Component System with the Auto Reverse,Auto Reverse,0,M,7-Oct,14,2,10,2010,2020,2,12,0.83
Lil Baby,It's Only Me,Quality Control Music/Motown Records,1,M,14-Oct,22,2,10,2017,2021,1,5,2
Tee Grizzley,Chapters Of The Trenches,300 Entertainment,1,M,14-Oct,13,5,9,2017,2022,0,5,1.8
Kodak Black,Kutthroat Bill: Vol. 1,Atlantic Records,1,M,28-Oct,19,3,14,2014,2022,0,8,1.75
Smino,Luv 4 Rent,Motown Records,1,M,28-Oct,15,2,3,2017,2018,4,5,0.6
Yung Gravy,Marvelous,Universal Records,1,M,28-Oct,15,5,5,2018,2020,2,4,1.25
Quadeca,I Didn't Mean To Haunt You,deadAir,0,M,10-Nov,11,2,7,2015,2021,1,7,1
SleazyWorld Go,Where The Shooters Be,Island Records,1,M,11-Nov,21,5,4,2020,2021,1,2,2
SoFaygo,Pink Heartz,Cactus Jack,0,M,11-Nov,16,4,4,2019,2020,2,3,1.33
Roddy Ricch,Feed Tha Streets III,Atlantic Records,1,M,18-Nov,15,3,4,2018,2021,1,4,1
Homixide Gang,Homixide Lifestyle,Opium,0,M,22-Nov,18,0,2,2021,2022,0,1,2
A Boogie Wit da Hoodie,Me vs. Myself,Highbridge The Label,1,M,9-Dec,22,3,7,2016,2021,1,6,1.17
Trippie Redd,MANSION MUSIK,TenThousand Projects,1,M,20-Jan,25,0,9,2017,2021,2,6,1.5
Don Toliver,Love Sick,Cactus Jack / Atlantic,1,M,24-Feb,16,4,4,2018,2021,2,5,0.8
Yeat,AftërLyfe,Field Trip Recordings/Geffen Records,1,M,24-Feb,22,0,8,2019,2022,1,4,2
Macklemore,BEN,Bendo LLC,0,M,3-Mar,15,5,5,2005,2017,6,18,0.28
Pouya,GATOR,ALL BUT 6,0,M,10-Apr,17,2,7,2016,2023,0,7,1
Rae Sremmurd,Sremm 4 Life,Eardruma Records/Interscope Records,1,M,7-Apr,14,2,5,2015,2018,5,8,0.63
NLE Choppa,Cottonwood 2,Warner Records,1,M,14-Apr,22,7,6,2019,2020,3,4,1.5
iann dior,leave me where you found me,Internet Money Records / 10K Projects,1,M,21-Apr,12,2,5,2019,2022,1,4,1.25
G Herbo,Strictly 4 My Fans 2,Machine Entertainment Group - G Herbo,0,M,18-Apr,12,0,12,2014,2022,1,9,1.33
